what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539618469
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539620474
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539622717
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539628362
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539632427
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629539632443
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539632552
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539632569
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539635964
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629539665530
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539710367
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539713784
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539714054
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629539715598
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539715821
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629539715830
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539719530
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539719729
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539719752
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539726756
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539727536
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539727554
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539741770
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539741984
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539741999
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539743800
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539743916
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539746123
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539746330
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539749480
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539749649
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539756740
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539866151
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539868693
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629539872737
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539879023
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629539884362
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539886117
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539889982
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539891991
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629539892004
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539892041
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539892059
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629539906979
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629539910831
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539911084
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629539911094
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539954568
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539956664
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539980980
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539983104
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539988686
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539992017
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539992048
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539992081
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539992089
closed,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539992126
closed,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539992142
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539992151
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539992169
closed,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539992198
closed,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539992288
stopped,bundle,org.eclipse.m2e.logback.configuration,1.13.0.20190716-1624,"org.eclipse.m2e.logback.configuration",1629539992555
stopped,bundle,org.eclipse.egit.mylyn.ui,5.5.0.201909110433-r,"org.eclipse.egit.mylyn.ui",1629539992707
stopped,bundle,org.eclipse.mylyn.git.ui,1.16.0.v20170629-1738,"org.eclipse.mylyn.git.ui",1629539992774
stopped,bundle,org.eclipse.php.composer.ui,6.3.0.201909061650,"org.eclipse.php.composer.ui",1629539992775
stopped,bundle,org.eclipse.tm.terminal.connector.process,4.5.100.201901312304,"org.eclipse.tm.terminal.connector.process",1629539992902
stopped,bundle,org.eclipse.tm.terminal.view.ui,4.5.102.201907301733,"org.eclipse.tm.terminal.view.ui",1629539992902
stopped,bundle,org.eclipse.egit.ui,5.5.0.201909110433-r,"org.eclipse.egit.ui",1629539992902
stopped,bundle,org.eclipse.mylyn.git.core,1.16.0.v20170629-1738,"org.eclipse.mylyn.git.core",1629539992961
stopped,bundle,org.eclipse.oomph.setup.editor,1.14.0.v20190827-1254,"org.eclipse.oomph.setup.editor",1629539992969
stopped,bundle,org.eclipse.oomph.resources.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.resources.edit",1629539993062
stopped,bundle,org.eclipse.oomph.workingsets.editor,1.10.0.v20180904-1112,"org.eclipse.oomph.workingsets.editor",1629539993062
stopped,bundle,org.eclipse.oomph.workingsets.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.workingsets.edit",1629539993197
stopped,bundle,org.eclipse.oomph.predicates.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.predicates.edit",1629539993197
stopped,bundle,org.eclipse.oomph.resources,1.11.0.v20190828-0715,"org.eclipse.oomph.resources",1629539993197
stopped,bundle,org.eclipse.oomph.workingsets,1.10.0.v20180706-1242,"org.eclipse.oomph.workingsets",1629539993197
stopped,bundle,org.eclipse.oomph.predicates,1.10.0.v20180706-1242,"org.eclipse.oomph.predicates",1629539993197
stopped,bundle,org.eclipse.egit.core,5.5.0.201909110433-r,"org.eclipse.egit.core",1629539993197
stopped,bundle,org.eclipse.jgit.ssh.apache,5.5.0.201909110433-r,"org.eclipse.jgit.ssh.apache",1629539993197
stopped,bundle,org.eclipse.buildship.ui,3.1.2.v20190903-1802,"org.eclipse.buildship.ui",1629539993197
stopped,bundle,org.eclipse.buildship.core,3.1.2.v20190903-1802,"org.eclipse.buildship.core",1629539993197
