what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.quicklinks,1.0.300.v20180821-0700,"org.eclipse.ui.intro.quicklinks",1629737694980
started,bundle,org.eclipse.ui.intro.universal,3.3.600.v20190624-2105,"org.eclipse.ui.intro.universal",1629737694980
started,bundle,org.eclipse.ui.monitoring,1.1.500.v20190823-0929,"org.eclipse.ui.monitoring",1629737694981
started,bundle,org.eclipse.ui.navigator,3.9.0.v20190807-2204,"org.eclipse.ui.navigator",1629737694982
started,bundle,org.eclipse.ui.net,1.3.500.v20190615-1517,"org.eclipse.ui.net",1629737694983
started,bundle,org.eclipse.ui.themes,1.2.700.v20190826-0816,"org.eclipse.ui.themes",1629737694983
started,bundle,org.eclipse.ui.views.log,1.2.700.v20190819-1015,"org.eclipse.ui.views.log",1629737694983
started,bundle,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"org.eclipse.ui.workbench",1629737694985
started,bundle,org.eclipse.ui.workbench.texteditor,3.13.0.v20190903-0631,"org.eclipse.ui.workbench.texteditor",1629737694986
started,bundle,org.eclipse.update.configurator,3.4.300.v20190518-1030,"org.eclipse.update.configurator",1629737694987
started,bundle,org.eclipse.userstorage,1.2.0.v20190307-0457,"org.eclipse.userstorage",1629737694987
started,bundle,org.eclipse.wst.common.core,1.3.0.v201903222010,"org.eclipse.wst.common.core",1629737694988
started,bundle,org.eclipse.wst.common.emf,1.2.600.v201903222010,"org.eclipse.wst.common.emf",1629737694989
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201903222010,"org.eclipse.wst.common.emfworkbench.integration",1629737694990
started,bundle,org.eclipse.wst.common.frameworks,1.2.201.v201903222010,"org.eclipse.wst.common.frameworks",1629737694990
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.400.v201903222010,"org.eclipse.wst.common.frameworks.ui",1629737694991
started,bundle,org.eclipse.wst.common.modulecore,1.3.100.v201903222010,"org.eclipse.wst.common.modulecore",1629737694992
started,bundle,org.eclipse.wst.validation,1.2.800.v201904082137,"org.eclipse.wst.validation",1629737694993
started,bundle,org.eclipse.wst.xml.core,1.2.200.v201901071922,"org.eclipse.wst.xml.core",1629737694994
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1629737694995
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1629737694996
